channel_name,frequency_checked_hz,attend_side,is_target_frequency_for_trial,is_occipital_channel,qc_status,mean_snr_db,median_snr_db,n
AF3,9.0,left,True,False,review,-1.2844636051366352,-1.5115728220094704,20
AF3,9.0,right,False,False,review,-1.7653949316759328,-1.6616319760950575,20
AF3,14.0,left,False,False,review,-2.6607053004236683,-3.450376737219292,20
AF3,14.0,right,True,False,review,-1.0855597297899824,-0.8691473799142397,20
AF4,9.0,left,True,False,review,0.049101868794809725,-0.05032611489615313,20
AF4,9.0,right,False,False,review,-1.4943873953675066,-1.9955992117739054,20
AF4,14.0,left,False,False,review,-3.8877854872629136,-3.6058670262773704,20
AF4,14.0,right,True,False,review,-4.543574368842427,-4.688007151087044,20
AF7,9.0,left,True,False,review,-2.1843683367029807,-2.012519871855283,20
AF7,9.0,right,False,False,review,-2.373517177843384,-2.1530594655521513,20
AF7,14.0,left,False,False,review,-0.9312749874941868,-1.2948984310946186,20
AF7,14.0,right,True,False,review,0.3651988306581832,-0.5336605119101773,20
AF8,9.0,left,True,False,review,-9.934887776576206,-11.107805586980662,20
AF8,9.0,right,False,False,review,-12.549072806695467,-15.95373910803751,20
AF8,14.0,left,False,False,review,-2.2637779159718967,-3.7756424681118466,20
AF8,14.0,right,True,False,review,0.28751474169683,-2.3607853116345052,20
AFz,9.0,left,True,False,review,0.3151190486157219,0.2493107617247345,20
AFz,9.0,right,False,False,review,-0.6683680578752786,-0.7795765491158867,20
AFz,14.0,left,False,False,review,-1.5451132569365607,-1.8323033167453522,20
AFz,14.0,right,True,False,review,-1.987407385939288,-1.327234601659013,20
C1,9.0,left,True,False,bad,-2.389085897448403,-2.7425929998740584,20
C1,9.0,right,False,False,bad,-1.770107409674893,-0.4456303426773439,20
C1,14.0,left,False,False,bad,-0.17453215273255046,-0.057833542115298925,20
C1,14.0,right,True,False,bad,-0.8978983755883576,-1.5721296255265218,20
C2,9.0,left,True,False,good,-2.322741301165823,-2.078638736820494,20
C2,9.0,right,False,False,good,-1.5713151021075904,-2.5194479899728424,20
C2,14.0,left,False,False,good,-1.1925089475184505,-1.2354227613440352,20
C2,14.0,right,True,False,good,-1.4050994642584498,-0.6896454090757973,20
C3,9.0,left,True,False,review,-0.3139360523138328,-0.5378504945285875,20
C3,9.0,right,False,False,review,-0.1429002572583681,0.37814666115195017,20
C3,14.0,left,False,False,review,-2.038934918589085,-2.0720311043359882,20
C3,14.0,right,True,False,review,-1.1055784660884738,-0.8443381122931731,20
C4,9.0,left,True,False,good,-2.506438054183726,-2.302304898348482,20
C4,9.0,right,False,False,good,-1.8690005557074532,-2.0544997061940986,20
C4,14.0,left,False,False,good,-1.1782996203848561,-1.1127496324291044,20
C4,14.0,right,True,False,good,-1.3319010178884387,-1.2301271615809952,20
C5,9.0,left,True,False,good,0.019714231763239977,-0.3337828238677235,20
C5,9.0,right,False,False,good,0.042412999779229785,-0.03574034481069953,20
C5,14.0,left,False,False,good,-1.862982022866366,-1.9426125623979922,20
C5,14.0,right,True,False,good,-0.19113898911587865,0.002306367167966804,20
C6,9.0,left,True,False,good,-0.467295794673927,-0.3958021032568636,20
C6,9.0,right,False,False,good,-1.3789878994771427,-1.6059463297207768,20
C6,14.0,left,False,False,good,-0.4744375628262091,-0.3394761095591308,20
C6,14.0,right,True,False,good,-0.23002978655742473,-0.4004156810484883,20
CP1,9.0,left,True,False,good,0.5655044619903855,0.3468920909337714,20
CP1,9.0,right,False,False,good,0.06449462086708849,0.1449699089833923,20
CP1,14.0,left,False,False,good,-1.914516125924613,-1.7714233778753847,20
CP1,14.0,right,True,False,good,-1.3086669764360521,-1.0589308143200011,20
CP2,9.0,left,True,False,good,-0.9594205355178062,-1.2600041087224576,20
CP2,9.0,right,False,False,good,-0.061810524525557485,0.4343840352573539,20
CP2,14.0,left,False,False,good,-0.8578187084802353,-0.940339203413401,20
CP2,14.0,right,True,False,good,-1.8494692107614168,-1.9714359465300682,20
CP3,9.0,left,True,False,good,0.9098004558338036,1.0036830156636751,20
CP3,9.0,right,False,False,good,0.12656087500284013,0.4039512175136067,20
CP3,14.0,left,False,False,good,-2.164338267456066,-1.854013499952978,20
CP3,14.0,right,True,False,good,-1.5793470280770925,-1.4045769721668786,20
CP4,9.0,left,True,False,good,-1.1671066667270842,-1.5350363693458966,20
CP4,9.0,right,False,False,good,-0.7419655785482,-0.6633923992992687,20
CP4,14.0,left,False,False,good,-0.7435963563762475,-1.2183944075341435,20
CP4,14.0,right,True,False,good,-1.499978875825326,-1.699093884154845,20
CP5,9.0,left,True,False,good,0.690149988518265,1.1338454769738564,20
CP5,9.0,right,False,False,good,0.1271463503522362,0.3771341790121383,20
CP5,14.0,left,False,False,good,-1.6261468740539946,-1.6748016066319136,20
CP5,14.0,right,True,False,good,-0.5720831299504264,-0.9051333347994097,20
CP6,9.0,left,True,False,good,0.07853701737914082,-0.19467079409258425,20
