channel_name,qc_status,mean_target_minus_nontarget_snr_db,median_target_minus_nontarget_snr_db,n_trials
Oz,good,4.312520294118675,3.695367555051739,40
O2,good,3.7389232776687145,3.7415964157934107,40
O1,good,2.632912708052088,3.4690530619782516,40
PO7,good,2.349541663271757,2.715199207663467,40
PO8,good,2.334855089685102,1.8584705395558867,40
P8,good,1.7322026962311157,1.8085216753185775,40
PO4,good,1.503856702201487,2.1960405976850605,40
P5,good,1.4532686686727643,2.1109196420738443,40
PO3,good,1.317030642801813,1.3129895322624883,40
P6,good,1.0788600067373593,1.6249358899864528,40
POz,good,0.5173705221171996,0.9441598395908142,40
P4,good,-0.09288400059463864,0.003090145978873693,40
P2,good,-0.49615215162491355,-1.2318883071529596,40
