trial_index_1based,block,trial_in_block,attend_side,condition,analysis_start_s,analysis_end_s,analysis_duration_s,n_selected_channels,selected_channels,cca_rho_9hz,cca_rho_14hz,cca_margin_9_minus_14,predicted_side_cca,prediction_correct_cca,ref_9hz_harmonics_used,ref_14hz_harmonics_used
1,1,1,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.49903639593210064,0.0672602271812667,0.4317761687508339,left,True,"9,18,27","14,28,42"
2,1,2,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.43126401568632233,0.08724140861079839,0.34402260707552396,left,True,"9,18,27","14,28,42"
3,1,3,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.22705922154993155,0.07271406263534004,0.1543451589145915,left,True,"9,18,27","14,28,42"
4,1,4,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.11855303223526911,0.3322466592089941,-0.213693626973725,right,True,"9,18,27","14,28,42"
5,1,5,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.17851058414641843,0.2621358714939049,-0.08362528734748645,right,True,"9,18,27","14,28,42"
6,1,6,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.18039619974779406,0.2418060033081278,-0.06140980356033374,right,True,"9,18,27","14,28,42"
7,1,7,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.18064409069539414,0.333196735334852,-0.15255264463945786,right,True,"9,18,27","14,28,42"
8,1,8,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.2091464496066545,0.08027441053439288,0.1288720390722616,left,True,"9,18,27","14,28,42"
9,1,9,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.16100645778231298,0.3031149256171437,-0.14210846783483072,right,True,"9,18,27","14,28,42"
10,1,10,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.34154422962089537,0.05794384818405383,0.2836003814368415,left,True,"9,18,27","14,28,42"
11,2,1,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.15791196222717174,0.24948051740087876,-0.09156855517370702,right,True,"9,18,27","14,28,42"
12,2,2,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.15675649912249104,0.3196760401687311,-0.16291954104624004,right,True,"9,18,27","14,28,42"
