trial_index_1based,block,trial_in_block,attend_side,condition,analysis_start_s,analysis_end_s,analysis_duration_s,n_selected_channels,selected_channels,cca_rho_9hz,cca_rho_14hz,cca_margin_9_minus_14,predicted_side_cca,prediction_correct_cca,ref_9hz_harmonics_used,ref_14hz_harmonics_used,predicted_side_recomputed,prediction_correct_recomputed,target_rho,nontarget_rho,signed_target_margin
1,1,1,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4990363959321006,0.0672602271812667,0.4317761687508339,left,True,"9,18,27","14,28,42",left,True,0.4990363959321006,0.0672602271812667,0.4317761687508339
2,1,2,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4312640156863223,0.0872414086107983,0.3440226070755239,left,True,"9,18,27","14,28,42",left,True,0.4312640156863223,0.0872414086107983,0.344022607075524
3,1,3,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.2270592215499315,0.07271406263534,0.1543451589145915,left,True,"9,18,27","14,28,42",left,True,0.2270592215499315,0.07271406263534,0.1543451589145915
4,1,4,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1185530322352691,0.3322466592089941,-0.213693626973725,right,True,"9,18,27","14,28,42",right,True,0.3322466592089941,0.1185530322352691,0.21369362697372501
5,1,5,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1785105841464184,0.2621358714939049,-0.0836252873474864,right,True,"9,18,27","14,28,42",right,True,0.2621358714939049,0.1785105841464184,0.08362528734748648
6,1,6,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.180396199747794,0.2418060033081278,-0.0614098035603337,right,True,"9,18,27","14,28,42",right,True,0.2418060033081278,0.180396199747794,0.06140980356033379
7,1,7,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1806440906953941,0.333196735334852,-0.1525526446394578,right,True,"9,18,27","14,28,42",right,True,0.333196735334852,0.1806440906953941,0.1525526446394579
8,1,8,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.2091464496066545,0.0802744105343928,0.1288720390722616,left,True,"9,18,27","14,28,42",left,True,0.2091464496066545,0.0802744105343928,0.1288720390722617
9,1,9,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1610064577823129,0.3031149256171437,-0.1421084678348307,right,True,"9,18,27","14,28,42",right,True,0.3031149256171437,0.1610064577823129,0.1421084678348308
10,1,10,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.3415442296208953,0.0579438481840538,0.2836003814368415,left,True,"9,18,27","14,28,42",left,True,0.3415442296208953,0.0579438481840538,0.2836003814368415
11,2,1,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1579119622271717,0.2494805174008787,-0.091568555173707,right,True,"9,18,27","14,28,42",right,True,0.2494805174008787,0.1579119622271717,0.09156855517370702
12,2,2,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.156756499122491,0.3196760401687311,-0.16291954104624,right,True,"9,18,27","14,28,42",right,True,0.3196760401687311,0.156756499122491,0.16291954104624007
13,2,3,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1991264979520164,0.3267234151912997,-0.1275969172392833,right,True,"9,18,27","14,28,42",right,True,0.3267234151912997,0.1991264979520164,0.12759691723928332
14,2,4,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1712234036982116,0.2553944756473864,-0.0841710719491748,right,True,"9,18,27","14,28,42",right,True,0.2553944756473864,0.1712234036982116,0.08417107194917478
15,2,5,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.3750206686492849,0.0720192350255239,0.303001433623761,left,True,"9,18,27","14,28,42",left,True,0.3750206686492849,0.0720192350255239,0.303001433623761
16,2,6,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4620145093794928,0.0895672589966149,0.3724472503828778,left,True,"9,18,27","14,28,42",left,True,0.4620145093794928,0.0895672589966149,0.3724472503828779
17,2,7,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4033000583437016,0.0550853369336915,0.3482147214100101,left,True,"9,18,27","14,28,42",left,True,0.4033000583437016,0.0550853369336915,0.3482147214100101
18,2,8,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.2414594445114338,0.310938544921799,-0.0694791004103651,right,True,"9,18,27","14,28,42",right,True,0.310938544921799,0.2414594445114338,0.0694791004103652
19,2,9,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4547596880861898,0.0768072864744243,0.3779524016117654,left,True,"9,18,27","14,28,42",left,True,0.4547596880861898,0.0768072864744243,0.37795240161176547
20,2,10,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4765554950785037,0.0670677143544452,0.4094877807240585,left,True,"9,18,27","14,28,42",left,True,0.4765554950785037,0.0670677143544452,0.4094877807240585
21,3,1,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.590657278006185,0.088489643407742,0.5021676345984429,left,True,"9,18,27","14,28,42",left,True,0.590657278006185,0.088489643407742,0.5021676345984429
22,3,2,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4482020045647383,0.0635448838548839,0.3846571207098543,left,True,"9,18,27","14,28,42",left,True,0.4482020045647383,0.0635448838548839,0.3846571207098544
23,3,3,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1584823547434957,0.4048930429265688,-0.246410688183073,right,True,"9,18,27","14,28,42",right,True,0.4048930429265688,0.1584823547434957,0.2464106881830731
24,3,4,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.3947107868131381,0.0807495419710438,0.3139612448420942,left,True,"9,18,27","14,28,42",left,True,0.3947107868131381,0.0807495419710438,0.3139612448420943
25,3,5,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1774035387434596,0.2816137364433221,-0.1042101976998625,right,True,"9,18,27","14,28,42",right,True,0.2816137364433221,0.1774035387434596,0.1042101976998625
26,3,6,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.2026142880791463,0.2599514550855596,-0.0573371670064132,right,True,"9,18,27","14,28,42",right,True,0.2599514550855596,0.2026142880791463,0.05733716700641331
27,3,7,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.3750464428018015,0.0710130815931929,0.3040333612086086,left,True,"9,18,27","14,28,42",left,True,0.3750464428018015,0.0710130815931929,0.3040333612086086
28,3,8,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1799329673522109,0.2793993926023745,-0.0994664252501636,right,True,"9,18,27","14,28,42",right,True,0.2793993926023745,0.1799329673522109,0.09946642525016361
29,3,9,right,right_14hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.1829892093208286,0.2199033238130307,-0.0369141144922021,right,True,"9,18,27","14,28,42",right,True,0.2199033238130307,0.1829892093208286,0.03691411449220211
30,3,10,left,left_9hz,2.0,29.0,27.0,13,"O1,Oz,O2,PO7,PO3,POz,PO4,PO8,P5,P2,P4,P6,P8",0.4004986610507421,0.0840655386403682,0.3164331224103738,left,True,"9,18,27","14,28,42",left,True,0.4004986610507421,0.0840655386403682,0.3164331224103739
